rank,percentileRank,acaiIndicators,institution,index,lat,lng,dx,dy,yype,researchActivity,regionalCoverage,sizeBucket,sizeStudentsInThousands,t1UniversityRulesPoliciesRegulations,t2CenterForTeachingAndLearning,t3AiInstituteInitiativeCenterHubAi,t4LibraryLibraryGuides,t5AcademicIntegrityHonorCode,t6AiSteeringCommitteeTaskForce,t7OtherRelevantLinks,,,
11,13,71.21,Stony Brook University,U26,40.9122,-73.1226,0,0,Public Research-Oriented,R1,Northeast,large,26,"- https://www.stonybrook.edu/commcms/academic_integrity/generative-ai/index.php?accordion=content-d19e272 
- https://stonybrook.edu/genai/faqs/index.php ",- https://www.stonybrook.edu/celt/innovative-technology/ai-teaching-resources.php ,"- https://ai.stonybrook.edu/   
- https://www.stonybrook.edu/genai/  ","- https://guides.library.stonybrook.edu/AI-resources 
- https://guides.library.stonybrook.edu/c.php?g=1296120 
- https://guides.library.stonybrook.edu/genai ","- https://www.stonybrook.edu/commcms/academic_integrity/faculty-and-staff/sample-syllabus-statement.php   
- https://www.stonybrook.edu/commcms/faculty-pathways/pages/syllabus.php   
- https://www.stonybrook.edu/celt/teaching-resources/aibot.php   
- https://www.stonybrook.edu/celt/innovative-technology/AI/ai-flagged-eval-process   
- https://www.stonybrook.edu/commcms/academic_integrity/generative-ai/index.php?accordion=content-d19e272 ","- https://you.stonybrook.edu/libraryai/governance/ 
- https://www.stonybrook.edu/commcms/provost/about/advisory-committees.php#view-adhoc ","- https://www.stonybrook.edu/genai/index.php 
- https://www.aldacenter.org/commcms/ceas-undergrad/student_organization/ai_community ",,,
12,16,69.7,Lewis & Clark College,U70,45.4847,-122.7216,0,0,Teaching-Oriented/Liberal Arts,-,West,small,2,"- https://www.lclark.edu/live/profiles/21485-generative-ai-and-use-of-college-data-policy 
- https://library.lclark.edu/ai 
- https://www.lclark.edu/information_technology/AI_Advisory_Group/index/ ",None,None,- https://library.lclark.edu/ai ,- https://library.lclark.edu/ai ,- https://www.lclark.edu/information_technology/AI_Advisory_Group/index/ ,None,,,
13,16,69.7,"University of California, Berkeley",U11,37.87196,-122.25909,0,0,Public Research-Oriented,R1,West,large,46,"- https://oercs.berkeley.edu/appropriate-use-generative-ai-tools   
- https://ai.berkeley.edu/guidance-use-ai   
- https://ai.berkeley.edu/resources/licensed-generative-ai-tools   
- https://ai.universityofcalifornia.edu/   
- https://ai.universityofcalifornia.edu/governance-transparency/ ","- https://teaching.berkeley.edu/teaching-strategies/genai-teaching  
- https://teaching.berkeley.edu/teaching-strategies/genai-teaching/communicating-course-policies-and-talking-students   
- https://teaching.berkeley.edu/research-assessment/creating-framework-valued-learning-outcomes-2030 ","- https://ai.berkeley.edu/   
- https://ai.berkeley.edu/centers-and-programs-focused-ai   
- https://ai.berkeley.edu/research/   
- https://ai.berkeley.edu/uc-berkeley-ai-community   
- https://ai.berkeley.edu/resources/campus-ai-sandbox   
- https://cltc.berkeley.edu/program/ai-policy-hub/ ","- https://www.lib.berkeley.edu/about/conditions-of-use-for-electronic-resources   
- https://guides.lib.berkeley.edu/text-mining ",None,"- https://ai.berkeley.edu/ai-governance-and-advisory-bodies   
- https://oercs.berkeley.edu/ai-governing-advisory-bodies   
- https://oercs.berkeley.edu/artificial-intelligence 
- https://evcp.berkeley.edu/initiatives/provosts-advisory-council-artificial-intelligence-pac-ai ","- https://www.berkeley.edu/ai/  
- https://ai.berkeley.edu/home   
- https://ai.berkeley.edu/uc-berkeley-ai-community   
- https://technology.berkeley.edu/AI   
- https://oercs.berkeley.edu/artificial-intelligence   
- https://vcresearch.berkeley.edu/research-unit/c3ai-digital-transformation-institute   
- https://cto.berkeley.edu/ai/uc-berkeley-ai-community ",,,
14,19,69.7,Texas A&M University,U1,30.6187,-96.3366,0,0,Public Research-Oriented,R1,South,large,80,"- https://www.it.tamu.edu/security-and-policy/it-policy/research-security-compliance/cloud-services-research.html  
- https://www.it.tamu.edu/ai-services/index.html  
- https://policies.tamus.edu/15-99-08.pdf 
- https://policies.tamus.edu/29-01-05.pdf 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html 
- https://www.cyber.tamus.edu/policy/guidelines/ai/ 
- https://service.tamu.edu/TDClient/36/Portal/KB/ArticleDet?ID=1019 ","- https://cte.tamu.edu/initiatives/gen-ai/index.html 
- https://genai.tamids.tamu.edu/opportunities/gaire/ ","- https://ai.tamu.edu/index.html 
- https://tamids.tamu.edu/  
- https://genai.tamids.tamu.edu/   
- https://genai.tamids.tamu.edu/about-genai/   
- https://www.it.tamu.edu/about/strategic-initiatives/ai-framework.html","- https://tamu.libguides.com/c.php?g=1289555 
- https://tamu.libguides.com/c.php?g=1491584 ","- https://aggiehonor.tamu.edu/rules-procedures/sr20.html 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html ",- https://www.tamus.edu/catie/workgroups/emergingtech/ ,"- https://genai.tamids.tamu.edu/   
- https://www.it.tamu.edu/ai-services/index.html   ",,,
15,19,69.7,Case Western Reserve University,U50,41.5036,-81.6093,0,0,Private Research-Oriented,R1,Midwest,medium,12,"- https://bulletin.case.edu/undergraduate-academics/academic-integrity/  
- https://case.edu/provost/initiatives/innovation/ai-education/ai-policies 
- https://case.edu/provost/example-ai-policies-suitable-course-syllabi 
- https://case.edu/writing/resources/ai-academic-writing 
- https://case.edu/ucite/teaching-resources/genai-teaching-and-learning ","- https://case.edu/ucite/teaching-resources/genai-teaching-and-learning  
- https://case.edu/ucite/AIworkshops 
- https://case.edu/ucite/sites/default/files/2025-08/Gen%20AI%20Syllabus%20Statement%20Results%20Web%20Version%20v2.pdf 
- https://case.edu/utech/departments/teaching-learning-technologies/ai-modules ","- https://case.edu/provost/initiatives/innovation/ai-education 
- https://case.edu/utech/help/knowledge-base/ai-artificial-intelligence ",- https://researchguides.case.edu/artificialintelligence,"- https://bulletin.case.edu/undergraduate-academics/academic-integrity/   
- https://case.edu/provost/initiatives/innovation/ai-education/ai-policies   
- https://case.edu/writing/resources/ai-academic-writing   ",- https://case.edu/provost/initiatives/innovation/ai-education/about-ai-education/ai-task-force ,- https://case.edu/utech/help/knowledge-base/ai-artificial-intelligence ,,,
16,19,69.7,Lafayette College,U79,40.6944,-75.2087,0,0,Teaching-Oriented/Liberal Arts,-,Northeast,small,3,- https://citls.lafayette.edu/generative-ai-in-higher-education/  ,"- https://citls.lafayette.edu/teaching-and-generative-ai/   
- https://citls.lafayette.edu/2024/10/28/generative-ai-resources/ ",None,None,None,- https://citls.lafayette.edu/generative-ai/,- https://cwp.lafayette.edu/writing-and-generative-artificial-intelligence/ ,,,
17,22,68.18,"California State University, Long Beach",U14,33.7838,-118.1141,0,0,Public Research-Oriented,R2,West,large,42,"- https://www.csulb.edu/information-technology/ai-technology/ai-guidelines   
- https://www.csulb.edu/information-technology/ai-technology/student-guidelines-generative-ai   
- https://www.csulb.edu/information-technology/ai-technology/article/genai-dos-and-donts   
- https://www.csulb.edu/information-technology/ai-technology/ai-for-teaching-and-learning   
- https://www.csulb.edu/information-technology/ai-technology/ai-steering-committee   
- https://genai.calstate.edu/guidelines-safe-and-responsible-use-generative-ai-tools   
- https://genai.calstate.edu/about/systemwide-generative-ai-committee ",- https://www.csulb.edu/information-technology/ai-technology/ai-for-teaching-and-learning ,"- https://www.csulb.edu/information-technology/ai-technology/ai-guidelines   
- https://www.csulb.edu/information-technology/ai-technology/academic-ai-subcommittee 
- https://www.csulb.edu/information-technology/ai-technology ","- https://www.csulb.edu/artificial-intelligence-tools-inside-library-resources 
- https://csulb.libguides.com/chatbotsandai 
- https://csulb.libguides.com/onlineEduTools/aiChatBots ","- https://www.csulb.edu/information-technology/ai-technology/student-guidelines-generative-ai   
- https://www.csulb.edu/information-technology/ai-technology/ai-guidelines   
- https://www.csulb.edu/academic-senate/policy-academic-integrity-regarding-cheating-and-plagiarism ","- https://www.csulb.edu/information-technology/ai-technology/academic-ai-subcommittee   
- https://www.csulb.edu/information-technology/ai-technology/ai-guidelines   
- https://www.csulb.edu/information-technology/ai-technology/ai-for-teaching-and-learning   
- https://genai.calstate.edu/about/systemwide-generative-ai-committee 
- https://www.csulb.edu/information-technology/ai-technology/ai-steering-committee ",- https://www.csulb.edu/information-technology/ai-technology   ,,,
18,22,68.18,University of North Carolina at Chapel Hill,U3,35.9049,-79.0469,0,0,Public Research-Oriented,R1,South,large,32,"- https://ai.unc.edu/teaching-generative-ai-usage-guidance/   
- https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://provost.unc.edu/discover-ai-at-carolina/ ",- https://ai.unc.edu/teaching/ ,"- https://ai.unc.edu/   
- https://renci.org/   
- https://engageai.org/   ","- https://library.unc.edu/ai/ 
- https://guides.lib.unc.edu/artificial-intelligence "," - https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://honor.unc.edu   
- https://guides.lib.unc.edu/GenAI/ethics ",- https://chancellor.unc.edu/wp-content/uploads/sites/1276/2024/09/UNC-Chapel-Hill-Generative-AI-Working-Group-Report.pdf ,None,,,
19,27,68.18,Cornell University,U56,42.4543,-76.4753,-0.02,0.01,Private Research-Oriented,R1,Northeast,medium,16,"- https://teaching.cornell.edu/generative-artificial-intelligence/ai-academic-integrity 
- https://deanoffaculty.cornell.edu/faculty-and-academic-affairs/academic-integrity/code-of-academic-integrity/
- https://it.cornell.edu/ai/ai-guidelines 
- https://teaching.cornell.edu/generative-artificial-intelligence/ai-attribution-guidelines ",- https://teaching.cornell.edu/generative-artificial-intelligence ,"- https://ai.cornell.edu/   
- https://it.cornell.edu/ai ",- https://guides.library.cornell.edu/citations/AI ,"- https://teaching.cornell.edu/generative-artificial-intelligence/ai-academic-integrity 
- https://deanoffaculty.cornell.edu/faculty-and-academic-affairs/academic-integrity/template-letters-for-ai-related-communications/ 
- https://deanoffaculty.cornell.edu/faculty-and-academic-affairs/academic-integrity/talking-to-students-about-ai/ ",- https://it.cornell.edu/ai ,None,,,
20,27,68.18,Brandeis University,U58,42.3653,-71.2629,0,0,Private Research-Oriented,R1,Northeast,small,5,"- https://www.brandeis.edu/ai-task-force/policies/acceptable-use-policy.html   
- https://www.brandeis.edu/ai-steering-council/policies/index.html   
- https://www.brandeis.edu/student-rights-community-standards/rights-responsibilities/current/section-4.html   
- https://www.brandeis.edu/student-rights-community-standards/academic-integrity/index.html  ","- https://www.brandeis.edu/teaching/online-guides/chatgpt-ai/ai-framework-brandeis-students.html 
- https://www.brandeis.edu/teaching/online-guides/chatgpt-ai/index.html 
- https://www.brandeis.edu/student-rights-community-standards/academic-integrity/faculty/navigating-artificial-intelligence.html ",- https://www.brandeis.edu/ai-steering-council/index.html ,- https://guides.library.brandeis.edu/citations ,"- https://www.brandeis.edu/student-rights-community-standards/academic-integrity/index.html 
- https://www.brandeis.edu/student-rights-community-standards/rights-responsibilities/current/section-4.html 
- https://www.brandeis.edu/student-rights-community-standards/academic-integrity/faculty/navigating-artificial-intelligence.html ","- https://www.brandeis.edu/ai-steering-council/index.html 
- https://www.brandeis.edu/ai-steering-council/ai-steering-council/index.html 
- https://www.brandeis.edu/ai-steering-council/ai-literacy/ethical-considerations.html ","- https://www.brandeis.edu/ai-task-force/ai-literacy/what-is-ai.html 
- https://www.brandeis.edu/ai-task-force/policies/acceptable-use-policy.html 
- https://www.brandeis.edu/its/services/ai-tools/index.html ",,,
21,27,68.18,Southern Methodist University,U36,32.8411,-96.7843,0,0,Private Research-Oriented,R1,South,medium,13,"- https://www.smu.edu/oit/ai 
- https://www.smu.edu/oit/ai/policy 
- https://www.smu.edu/oit/academictech/instructional-guidelines/ai-guide  
- https://www.smu.edu/oit/ai/faculty-guide   
- https://www.smu.edu/libraries/about/er-guidelines 
- https://www.smu.edu/provost/cte/resources/generative-ai-and-chat-gpt ",- https://www.smu.edu/provost/cte/resources/generative-ai-and-chat-gpt ,- https://www.smu.edu/oit/ai,"- https://guides.smu.edu/ai 
- https://guides.smu.edu/c.php?g=1358069&p=10027974 
- https://guides.smu.edu/aiandinfoliteracy ","- https://www.smu.edu/oit/ai/student-guide 
- https://www.smu.edu/oit/ai ",None ,"- https://www.smu.edu/oit/ai/ai-training   
- https://www.smu.edu/oit/training/ai-training/copilot/ai-basics   ",,,
22,27,68.18,Chapman University,U47,33.7832,-117.8512,0,0,Private Research-Oriented,R2,West,medium,10,"- https://www.chapman.edu/campus-services/information-systems/policies-and-procedures/guidelines-relating-to-data-privacy-and-security-when-using-generative-artificial-intelligence-tools.aspx   
- https://www.chapman.edu/ai/guidelines-for-the-use-of-ai.aspx   
- https://www.chapman.edu/ai/chapman-considerations-for-syllabus-policy-on-the-use-of-ai-generative-tools.aspx ",- https://www.chapman.edu/ai/artificial-intelligence-in-the-classroom.aspx ,- https://www.chapman.edu/ai/index.aspx ,- https://libguides.chapman.edu/AI ,"- https://www.chapman.edu/ai/chapman-considerations-for-syllabus-policy-on-the-use-of-ai-generative-tools.aspx 
- https://www.chapman.edu/ai/artificial-intelligence-in-the-classroom.aspx 
- https://www.chapman.edu/academics/academic-integrity/_files/information-for-students-2025.pdf ",None,"- https://www.chapman.edu/ai/index.aspx   
- https://www.chapman.edu/campus-services/information-systems/research-technology-support/ai/index.aspx   
- https://www.chapman.edu/campus-services/information-systems/research-technology-support/pantherai/index.aspx   ",,,
23,27,68.18,Howard University,U34,38.9217,-77.0193,0,0,Private Research-Oriented,R1,South,medium,12,"- https://provost.howard.edu/initial-howard-university-guidelines-use-generative-ai-tools   
- https://howard.edu/ai ","- https://provost.howard.edu/cetla/AI   
- https://provost.howard.edu/cetla/generativeAI ","- https://howard.edu/ai   
- https://provost.howard.edu/CADSA   
- https://provost.howard.edu/datascience  
- https://rita.howard.edu/ ",- https://howardcollege.libguides.com/AIToolbox ,"- https://provost.howard.edu/initial-howard-university-guidelines-use-generative-ai-tools 
- https://provost.howard.edu/cetla/generativeAI 
- https://provost.howard.edu/cetla/AI   ",- https://howard.edu/ai/advisory-council ," - https://provost.howard.edu/cetla/generativeAI   
- https://ai4pc.howard.edu/   
- https://rcmi.howard.edu/vadsti24/   ",,,
